Temperature,Appliances,Time,PreviousUsage,Consumption
22,3,6,1.2,1.8
24,4,7,1.5,2.1
26,5,8,1.9,2.7
28,6,9,2.3,3.1
30,7,10,2.8,3.6
32,8,11,3.2,4.2
31,6,12,3.5,4.0
29,5,13,3.1,3.5
27,4,14,2.8,3.0
25,3,15,2.4,2.6
24,3,16,2.1,2.4
26,4,17,2.5,3.0
28,5,18,3.0,3.8
30,7,19,3.6,4.8
32,9,20,4.2,5.6
31,8,21,4.8,5.3
29,7,22,4.5,4.9
27,5,23,3.9,4.2
25,3,0,3.2,3.3
23,2,1,2.7,2.8
22,2,2,2.3,2.4
21,2,3,2.0,2.1
20,1,4,1.7,1.8
21,2,5,1.5,1.9
23,3,6,1.8,2.3
25,4,7,2.1,2.8
27,5,8,2.5,3.2
29,6,9,2.9,3.7
31,7,10,3.3,4.2
33,8,11,3.8,4.9
32,7,12,4.1,4.7
30,6,13,3.8,4.1
28,5,14,3.4,3.6
26,4,15,3.0,3.2
25,3,16,2.7,2.9
27,5,17,3.1,3.8
29,6,18,3.6,4.5
31,8,19,4.2,5.3
33,9,20,4.8,6.1
32,8,21,5.2,5.9
30,7,22,4.9,5.2
28,5,23,4.3,4.5
26,4,0,3.7,3.8
24,3,1,3.1,3.2
22,2,2,2.6,2.7
21,2,3,2.2,2.3
20,1,4,1.9,2.0
21,2,5,1.7,2.1
23,3,6,2.0,2.5
25,4,7,2.4,3.0
27,5,8,2.8,3.5
29,6,9,3.2,4.0
31,7,10,3.6,4.6
33,8,11,4.1,5.2
32,7,12,4.4,5.0
30,6,13,4.0,4.5
28,5,14,3.7,3.9
26,4,15,3.3,3.5
24,3,16,2.9,3.0
26,4,17,3.2,3.6
28,6,18,3.7,4.7
30,7,19,4.3,5.4
32,9,20,5.0,6.2
31,8,21,5.4,6.0
29,7,22,5.1,5.5
27,5,23,4.6,4.8
25,4,0,4.0,4.1
23,3,1,3.4,3.5
22,2,2,2.9,3.0
21,2,3,2.5,2.6
20,1,4,2.1,2.2
22,2,5,1.9,2.3
24,3,6,2.2,2.7
26,4,7,2.6,3.2
28,5,8,3.0,3.7
30,6,9,3.5,4.3
32,8,10,4.0,5.0
34,9,11,4.5,5.8
33,8,12,4.9,5.7
31,7,13,4.6,5.1
29,6,14,4.2,4.6
27,4,15,3.8,4.0
25,3,16,3.4,3.6
27,5,17,3.8,4.3
29,6,18,4.3,5.1
31,8,19,4.9,5.9
33,9,20,5.5,6.7
32,8,21,5.9,6.5
30,7,22,5.6,6.0
28,6,23,5.0,5.3
26,4,0,4.4,4.5
24,3,1,3.8,3.9
22,2,2,3.2,3.3
21,2,3,2.7,2.8
20,1,4,2.3,2.4
21,2,5,2.1,2.5
23,3,6,2.4,2.9
25,4,7,2.8,3.4
27,5,8,3.2,3.9
29,6,9,3.7,4.5
31,7,10,4.2,5.1
33,8,11,4.7,5.9
32,7,12,5.1,5.8
30,6,13,4.8,5.2
28,5,14,4.4,4.7
26,4,15,4.0,4.2
24,3,16,3.6,3.8
26,5,17,4.0,4.6
28,6,18,4.5,5.4
30,7,19,5.1,6.1
32,9,20,5.7,6.9
31,8,21,6.1,6.7
29,7,22,5.8,6.2
27,5,23,5.2,5.5
