Humidity,WindSpeed,Pressure,Temperature
60,10,1012,28
65,12,1010,27
70,8,1008,25
55,15,1015,30
50,10,1018,32
62,11,1013,29
68,14,1009,26
72,7,1007,24
58,13,1014,29
53,9,1017,31
61,12,1011,28
67,10,1010,27
74,6,1006,23
56,16,1016,30
49,8,1019,33
63,14,1012,28
69,11,1009,26
71,9,1008,25
54,15,1015,30
51,7,1018,32
59,10,1013,29
64,13,1011,27
73,5,1005,22
57,12,1016,30
48,9,1020,34
66,15,1010,26
70,6,1007,24
52,11,1017,31
60,14,1012,28
55,8,1018,32
68,12,1009,26
75,7,1005,22
50,13,1019,33
63,9,1014,29
58,15,1015,30
47,6,1021,35
65,10,1011,28
72,8,1006,24
53,14,1017,31
61,7,1014,30
69,13,1008,25
76,5,1004,21
49,12,1019,33
56,10,1016,31
64,15,1012,27
59,8,1015,30
71,11,1007,24
54,9,1018,32
67,14,1010,26
62,6,1013,29
